num	zipcode	name
230.0	22014	Alcalá de Gurrea
196888.0	28005	Alcalá de Henares
383.0	44012	Alcalá de la Selva
79.0	16008	Alcalá de la Vega
5227.0	11001	Alcalá de los Gazules
157.0	50014	Alcalá de Moncayo
6831.0	12004	Alcalà de Xivert
1148.0	2007	Alcalá del Júcar
374.0	22015	Alcalá del Obispo
12315.0	41005	Alcalá del Río
4982.0	11002	Alcalá del Valle
21556.0	23002	Alcalá la Real
1349.0	3006	Alcalalí
623.0	22016	Alcampell
647.0	26007	Alcanadre
9612.0	43004	Alcanar
240.0	25010	Alcanó
1361.0	10008	Alcántara
42630.0	30005	Alcantarilla
1427.0	46016	Alcàntera de Xúquer
51.0	16009	Alcantud
1024.0	49003	Alcañices
16054.0	44013	Alcañiz
277.0	45005	Alcañizo
1493.0	14003	Alcaracejos
1307.0	2008	Alcaraz
9637.0	25011	Alcarràs
10396.0	46015	Alcàsser
2487.0	29002	Alcaucín
10347.0	23003	Alcaudete
1614.0	45006	Alcaudete de la Jara
30516.0	13005	Alcázar de San Juan
134.0	16010	Alcázar del Rey
643.0	47005	Alcazarén
17603.0	30902	Alcázares
535.0	13006	Alcoba
117041.0	28006	Alcobendas
315.0	19009	Alcocer
254.0	3007	Alcosser
40.0	9010	Alcocero de Mola
26.0	16011	Alcohujate
831.0	4007	Alcolea
1370.0	13007	Alcolea de Calatrava
1160.0	22017	Alcolea de Cinca
12.0	19010	Alcolea de las Peñas
824.0	45007	Alcolea de Tajo
326.0	19011	Alcolea del Pinar
3308.0	41006	Alcolea del Río
196.0	3008	Alcoleja
3470.0	25012	Alcoletge
269.0	10009	Alcollarín
199.0	42006	Alconaba
142.0	37012	Alconada
24.0	40005	Alconada de Maderuelo
1644.0	6007	Alconchel
80.0	50015	Alconchel de Ariza
77.0	16012	Alconchel de la Estrella
750.0	6008	Alconera
538.0	4008	Alcóntar
10468.0	12005	Alcora
170296.0	28007	Alcorcón
3252.0	44014	Alcorisa
122.0	19013	Alcoroches
5290.0	43005	Alcover
58960.0	3009	Alcoy/Alcoi
399.0	22018	Alcubierre
119.0	42007	Alcubilla de Avellaneda
54.0	42008	Alcubilla de las Peñas
116.0	49004	Alcubilla de Nogales
452.0	13008	Alcubillas
607.0	46018	Alcublas
20717.0	7003	Alcúdia
5224.0	46020	Alcúdia de Crespins
133.0	4009	Alcudia de Monteagud
195.0	12006	Alcudia de Veo
12176.0	46019	Alcúdia
2470.0	10010	Alcuéscar
32656.0	46021	Aldaia
214.0	47006	Aldea de San Miguel
7536.0	35020	Aldea de San Nicolás
617.0	10012	Aldea del Cano
3227.0	28008	Aldea del Fresno
275.0	37015	Aldea del Obispo
305.0	10013	Aldea del Obispo
1580.0	13009	Aldea del Rey
187.0	45008	Aldea en Cabo
283.0	40012	Aldea Real
4332.0	43904	Aldea
585.0	10011	Aldeacentenera
98.0	37013	Aldeacipreste
1159.0	37014	Aldeadávila de la Ribera
80.0	42009	Aldealafuente
19.0	40006	Aldealcorvo
674.0	37016	Aldealengua
81.0	40007	Aldealengua de Pedraza
61.0	40008	Aldealengua de Santa María
22.0	42010	Aldealices
18.0	42011	Aldealpozo
27.0	42012	Aldealseñor
5896.0	47007	Aldeamayor de San Martín
482.0	45009	Aldeanueva de Barbarroya
2786.0	26008	Aldeanueva de Ebro
239.0	37017	Aldeanueva de Figueroa
106.0	19015	Aldeanueva de Guadalajara
41.0	40009	Aldeanueva de la Serrezuela
106.0	37018	Aldeanueva de la Sierra
2025.0	10014	Aldeanueva de la Vera
416.0	45010	Aldeanueva de San Bartolomé
104.0	5007	Aldeanueva de Santa Cruz
742.0	10015	Aldeanueva del Camino
114.0	40010	Aldeanueva del Codonal
463.0	23004	Aldeaquemada
148.0	37019	Aldearrodrigo
524.0	37020	Aldearrubia
217.0	5008	Aldeaseca
72.0	37021	Aldeaseca de Alba
251.0	37022	Aldeaseca de la Frontera
65.0	40013	Aldeasoña
2417.0	37023	Aldeatejada
104.0	37024	Aldeavieja de Tormes
52.0	40014	Aldehorno
365.0	10016	Aldehuela de Jerte
285.0	37025	Aldehuela de la Bóveda
52.0	50016	Aldehuela de Liestos
35.0	42013	Aldehuela de Periáñez
191.0	37026	Aldehuela de Yeltes
23.0	40015	Aldehuela del Codonal
148.0	5010	Aldehuela
58.0	42014	Aldehuelas
603.0	18010	Aldeire
55.0	40016	Aldeonte
862.0	43006	Aldover
1110.0	30006	Aledo
1740.0	20005	Alegia
2960.0	1001	Alegría-Dulantzi
924.0	43007	Aleixar
10079.0	8003	Alella
26.0	42015	Alentisque
213.0	22019	Alerre
481.0	26009	Alesanco
90.0	26010	Alesón
5585.0	18011	Alfacar
21480.0	46022	Alfafar
417.0	3010	Alfafara
2434.0	50017	Alfajarín
490.0	44016	Alfambra
1477.0	50018	Alfamén
124.0	22020	Alfántega
359.0	43008	Alfara de Carles
606.0	46024	Alfara de la Baronia
3315.0	46025	Alfara del Patriarca
127.0	49005	Alfaraz de Sayago
1039.0	29003	Alfarnate
364.0	29004	Alfarnatejo
9727.0	26011	Alfaro
1596.0	46026	Alfarp
2795.0	25013	Alfarràs
1217.0	46027	Alfarrasí
20668.0	3011	Alfàs del Pi
479.0	46023	Alfauir
300.0	25014	Alfés
877.0	12007	Alfondeguilla
1928.0	43009	Alforja
64.0	50019	Alforque
