,num,zipcode,name,latitude,longitude,geohash,geohash_5,geohash_6,population_bucket,population_bucket_label
31,1247.0,4001,Abla,37.1416926,-2.7792318,eyw5,eyw52,eyw52c,"(1000, 5000]",4
32,63.0,19002,Ablanque,40.8981026,-2.2290338,ezq2,ezq2t,ezq2tm,"(0, 100]",1
33,2557.0,31006,Ablitas,41.9732671,-1.6395971,ezqy,ezqyf,ezqyf9,"(1000, 5000]",4
34,12697.0,8001,Abrera,41.5204464,1.9024126,sp3k,sp3k5,sp3k5q,"(10000, 50000]",6
35,1221.0,4002,Abrucena,37.1332098,-2.797482,eyw5,eyw50,eyw50r,"(1000, 5000]",4
36,161.0,37001,Abusejo,40.708994,-6.1407932,ez5x,ez5xs,ez5xs6,"(100, 500]",2
37,62.0,28001,Acebeda,41.0868693,-3.6240235,ezm3,ezm3t,ezm3tx,"(0, 100]",1
38,185.0,24001,Acebedo,43.0391854,-5.1159697,ezsk,ezskg,ezskge,"(100, 500]",2
39,542.0,10003,Acebo,40.2008358,-6.717543,ez5h,ez5hx,ez5hxn,"(500, 1000]",3
40,231.0,16002,Acebrón,39.9153749,-2.9057742,ezjg,ezjgj,ezjgjf,"(100, 500]",2
41,816.0,6001,Acedera,39.0751785,-5.5720696,eyun,eyun3,eyun31,"(500, 1000]",3
42,816.0,10004,Acehúche,39.8018959,-6.6335103,ez56,ez563,ez563j,"(500, 1000]",3
43,588.0,10005,Aceituna,40.1490744,-6.3312506,ez5k,ez5kr,ez5kru,"(500, 1000]",3
44,138.0,50002,Acered,41.1704796,-1.6042985,ezqf,ezqf5,ezqf5q,"(100, 500]",2
45,5456.0,6002,Aceuchal,38.6479821,-6.486997,eyg7,eyg7u,eyg7u7,"(5000, 10000]",5
46,204.0,22003,Adahuesca,42.1464133,-0.0078327,ezrz,ezrzz,ezrzzb,"(100, 500]",2
47,54.0,47001,Adalia,41.6486513,-5.1213107,ezkk,ezkkg,ezkkgm,"(0, 100]",1
